iter	Passed	Remaining
743	2941	1012
744	2942	1007
745	2943	1002
746	2946	997
747	2949	993
748	2953	989
749	2971	990
750	2997	993
751	3003	990
752	3005	985
753	3017	984
754	3019	979
755	3023	975
756	3024	970
757	3032	968
758	3033	963
759	3037	959
760	3038	954
761	3038	949
762	3039	944
763	3040	939
764	3047	936
765	3048	931
766	3049	926
767	3054	922
768	3055	917
769	3055	912
770	3058	908
771	3060	903
772	3061	898
773	3063	894
774	3064	889
775	3068	885
776	3070	881
777	3071	876
778	3072	871
779	3073	866
780	3074	862
781	3074	857
782	3075	852
783	3076	847
784	3076	842
785	3077	837
786	3078	833
787	3079	828
788	3080	823
789	3081	819
790	3081	814
791	3082	809
792	3093	807
793	3096	803
794	3099	799
795	3100	794
796	3101	789
797	3103	785
798	3111	782
799	3114	778
800	3115	774
801	3116	769
802	3117	764
803	3118	760
804	3118	755
805	3119	750
806	3125	747
807	3126	742
808	3127	738
809	3128	733
810	3128	729
811	3129	724
812	3130	719
813	3130	715
814	3131	710
815	3135	707
816	3136	702
817	3137	698
818	3137	693
819	3138	688
820	3139	684
821	3139	679
822	3140	675
823	3140	670
824	3141	666
825	3142	661
826	3142	657
827	3143	653
828	3144	648
829	3145	644
830	3154	641
831	3155	637
832	3156	632
833	3157	628
834	3158	624
835	3159	619
836	3159	615
837	3160	610
838	3162	606
839	3165	602
840	3167	598
841	3168	594
842	3168	590
843	3169	585
844	3170	581
845	3170	577
846	3171	572
847	3171	568
848	3172	564
849	3173	560
850	3174	555
851	3174	551
852	3178	547
853	3179	543
854	3180	539
855	3180	535
856	3181	530
857	3181	526
858	3182	522
859	3183	518
860	3184	514
861	3184	509
862	3185	505
863	3186	501
864	3187	497
865	3187	493
866	3188	489
867	3189	485
868	3191	481
869	3192	477
870	3193	472
871	3193	468
872	3194	464
873	3195	460
874	3195	456
875	3196	452
876	3197	448
877	3198	444
878	3199	440
879	3200	436
880	3200	432
881	3201	428
882	3202	424
883	3204	420
884	3211	417
885	3212	413
886	3213	409
887	3214	405
888	3215	401
889	3215	397
890	3216	393
891	3216	389
892	3217	385
893	3218	381
894	3219	377
895	3225	374
896	3226	370
897	3228	366
898	3229	362
899	3230	358
900	3232	355
901	3232	351
902	3233	347
903	3234	343
904	3236	339
905	3237	335
906	3238	332
907	3239	328
908	3239	324
909	3240	320
910	3241	316
911	3241	312
912	3242	308
913	3243	305
914	3243	301
915	3249	297
916	3251	294
917	3252	290
918	3253	286
919	3253	282
920	3254	279
921	3254	275
922	3255	271
923	3256	267
924	3257	264
925	3258	260
926	3261	256
927	3263	253
